<1> Timestamp: 2020.1.3 8:42:29.Connection to SQL server established
<2> Timestamp: 2020.1.3 8:42:30.A sensor node with 49 has opened a new connection
<3> Timestamp: 2020.1.3 8:42:30.A sensor node with 112 has opened a new connection
<4> Timestamp: 2020.1.3 8:42:30.A sensor node with 37 has opened a new connection
<5> Timestamp: 2020.1.3 8:42:30.A sensor node with 21 has opened a new connection
<6> Timestamp: 2020.1.3 8:42:30.A sensor node with 15 has opened a new connection
<58> Timestamp: 2020.1.3 8:42:46.The sensor node with 37 reports it's too hot(running average temperature=19.825005)
<59> Timestamp: 2020.1.3 8:42:46.The sensor node with 15 reports it's too hot(running average temperature=19.825005)
<60> Timestamp: 2020.1.3 8:42:47.The sensor node with 37 reports it's too hot(running average temperature=19.685041)
<61> Timestamp: 2020.1.3 8:42:47.The sensor node with 15 reports it's too hot(running average temperature=19.685041)
<62> Timestamp: 2020.1.3 8:42:48.The sensor node with 49 reports it's too hot(running average temperature=20.160001)
<63> Timestamp: 2020.1.3 8:42:48.The sensor node with 112 reports it's too hot(running average temperature=20.364714)
<64> Timestamp: 2020.1.3 8:42:48.The sensor node with 21 reports it's too hot(running average temperature=20.364714)
<65> Timestamp: 2020.1.3 8:42:48.The sensor node with 37 reports it's too hot(running average temperature=19.518332)
<66> Timestamp: 2020.1.3 8:42:48.The sensor node with 15 reports it's too hot(running average temperature=19.518332)
<67> Timestamp: 2020.1.3 8:42:49.The sensor node with 37 reports it's too hot(running average temperature=19.385615)
<68> Timestamp: 2020.1.3 8:42:49.The sensor node with 15 reports it's too hot(running average temperature=19.385615)
<69> Timestamp: 2020.1.3 8:42:50.The sensor node with 112 reports it's too hot(running average temperature=20.439917)
<70> Timestamp: 2020.1.3 8:42:50.The sensor node with 21 reports it's too hot(running average temperature=20.439917)
<71> Timestamp: 2020.1.3 8:42:50.The sensor node with 37 reports it's too hot(running average temperature=19.237662)
<72> Timestamp: 2020.1.3 8:42:50.The sensor node with 15 reports it's too hot(running average temperature=19.237662)
<73> Timestamp: 2020.1.3 8:42:51.The sensor node with 49 reports it's too hot(running average temperature=20.328334)
<74> Timestamp: 2020.1.3 8:42:51.The sensor node with 37 reports it's too hot(running average temperature=19.075259)
<75> Timestamp: 2020.1.3 8:42:51.The sensor node with 15 reports it's too hot(running average temperature=19.075259)
<76> Timestamp: 2020.1.3 8:42:52.The sensor node with 112 reports it's too hot(running average temperature=20.354736)
<77> Timestamp: 2020.1.3 8:42:52.The sensor node with 21 reports it's too hot(running average temperature=20.354736)
<78> Timestamp: 2020.1.3 8:42:52.The sensor node with 37 reports it's too hot(running average temperature=18.990983)
<79> Timestamp: 2020.1.3 8:42:52.The sensor node with 15 reports it's too hot(running average temperature=18.990983)
<80> Timestamp: 2020.1.3 8:42:53.The sensor node with 37 reports it's too hot(running average temperature=19.105973)
<81> Timestamp: 2020.1.3 8:42:53.The sensor node with 15 reports it's too hot(running average temperature=19.105973)
<82> Timestamp: 2020.1.3 8:42:54.The sensor node with 49 reports it's too hot(running average temperature=20.373485)
<83> Timestamp: 2020.1.3 8:42:54.The sensor node with 112 reports it's too hot(running average temperature=20.178341)
<84> Timestamp: 2020.1.3 8:42:54.The sensor node with 21 reports it's too hot(running average temperature=20.178341)
<85> Timestamp: 2020.1.3 8:42:54.The sensor node with 37 reports it's too hot(running average temperature=19.201039)
<86> Timestamp: 2020.1.3 8:42:54.The sensor node with 15 reports it's too hot(running average temperature=19.201039)
<87> Timestamp: 2020.1.3 8:42:55.The sensor node with 37 reports it's too hot(running average temperature=19.165403)
<88> Timestamp: 2020.1.3 8:42:55.The sensor node with 15 reports it's too hot(running average temperature=19.165403)
<89> Timestamp: 2020.1.3 8:42:56.The sensor node with 112 reports it's too hot(running average temperature=20.063507)
<90> Timestamp: 2020.1.3 8:42:56.The sensor node with 21 reports it's too hot(running average temperature=20.063507)
<91> Timestamp: 2020.1.3 8:42:56.The sensor node with 37 reports it's too hot(running average temperature=19.205842)
<92> Timestamp: 2020.1.3 8:42:56.The sensor node with 15 reports it's too hot(running average temperature=19.205842)
<93> Timestamp: 2020.1.3 8:42:57.The sensor node with 49 reports it's too hot(running average temperature=20.364714)
<94> Timestamp: 2020.1.3 8:42:57.The sensor node with 37 reports it's too hot(running average temperature=19.287396)
<95> Timestamp: 2020.1.3 8:42:57.The sensor node with 15 reports it's too hot(running average temperature=19.287396)
<96> Timestamp: 2020.1.3 8:42:58.The sensor node with 112 reports it's too hot(running average temperature=19.978321)
<97> Timestamp: 2020.1.3 8:42:58.The sensor node with 21 reports it's too hot(running average temperature=19.978321)
<98> Timestamp: 2020.1.3 8:42:58.The sensor node with 37 reports it's too hot(running average temperature=19.273759)
<99> Timestamp: 2020.1.3 8:42:58.The sensor node with 15 reports it's too hot(running average temperature=19.273759)
<100> Timestamp: 2020.1.3 8:42:59.The sensor node with 37 reports it's too hot(running average temperature=19.244110)
<101> Timestamp: 2020.1.3 8:42:59.The sensor node with 15 reports it's too hot(running average temperature=19.244110)
<102> Timestamp: 2020.1.3 8:43:0.The sensor node with 49 reports it's too hot(running average temperature=20.439917)
<103> Timestamp: 2020.1.3 8:43:0.The sensor node with 112 reports it's too hot(running average temperature=19.909831)
<104> Timestamp: 2020.1.3 8:43:0.The sensor node with 21 reports it's too hot(running average temperature=19.909831)
<105> Timestamp: 2020.1.3 8:43:0.The sensor node with 37 reports it's too hot(running average temperature=19.191938)
<106> Timestamp: 2020.1.3 8:43:0.The sensor node with 15 reports it's too hot(running average temperature=19.191938)
<107> Timestamp: 2020.1.3 8:43:1.The sensor node with 37 reports it's too hot(running average temperature=19.171686)
<108> Timestamp: 2020.1.3 8:43:1.The sensor node with 15 reports it's too hot(running average temperature=19.171686)
<109> Timestamp: 2020.1.3 8:43:2.The sensor node with 112 reports it's too hot(running average temperature=19.825005)
<110> Timestamp: 2020.1.3 8:43:2.The sensor node with 21 reports it's too hot(running average temperature=19.825005)
<111> Timestamp: 2020.1.3 8:43:2.The sensor node with 37 reports it's too hot(running average temperature=19.114013)
<112> Timestamp: 2020.1.3 8:43:2.The sensor node with 15 reports it's too hot(running average temperature=19.114013)
<113> Timestamp: 2020.1.3 8:43:3.The sensor node with 49 reports it's too hot(running average temperature=20.354736)
<114> Timestamp: 2020.1.3 8:43:3.The sensor node with 37 reports it's too hot(running average temperature=19.121006)
<115> Timestamp: 2020.1.3 8:43:3.The sensor node with 15 reports it's too hot(running average temperature=19.121006)
<116> Timestamp: 2020.1.3 8:43:4.The sensor node with 112 reports it's too hot(running average temperature=19.685041)
<117> Timestamp: 2020.1.3 8:43:4.The sensor node with 21 reports it's too hot(running average temperature=19.685041)
<118> Timestamp: 2020.1.3 8:43:4.The sensor node with 37 reports it's too hot(running average temperature=19.146048)
<119> Timestamp: 2020.1.3 8:43:4.The sensor node with 15 reports it's too hot(running average temperature=19.146048)
<120> Timestamp: 2020.1.3 8:43:5.The sensor node with 37 reports it's too hot(running average temperature=19.172279)
<121> Timestamp: 2020.1.3 8:43:5.The sensor node with 15 reports it's too hot(running average temperature=19.172279)
<122> Timestamp: 2020.1.3 8:43:6.The sensor node with 49 reports it's too hot(running average temperature=20.178341)
<123> Timestamp: 2020.1.3 8:43:6.The sensor node with 112 reports it's too hot(running average temperature=19.518332)
<124> Timestamp: 2020.1.3 8:43:6.The sensor node with 21 reports it's too hot(running average temperature=19.518332)
<125> Timestamp: 2020.1.3 8:43:6.The sensor node with 37 reports it's too hot(running average temperature=19.168815)
<126> Timestamp: 2020.1.3 8:43:6.The sensor node with 15 reports it's too hot(running average temperature=19.168815)
<127> Timestamp: 2020.1.3 8:43:7.The sensor node with 37 reports it's too hot(running average temperature=19.155716)
<128> Timestamp: 2020.1.3 8:43:7.The sensor node with 15 reports it's too hot(running average temperature=19.155716)
<129> Timestamp: 2020.1.3 8:43:8.The sensor node with 112 reports it's too hot(running average temperature=19.385615)
<130> Timestamp: 2020.1.3 8:43:8.The sensor node with 21 reports it's too hot(running average temperature=19.385615)
<131> Timestamp: 2020.1.3 8:43:8.The sensor node with 15 reports it's too hot(running average temperature=19.326629)
<132> Timestamp: 2020.1.3 8:43:8.The sensor node with 37 reports it's too hot(running average temperature=19.326629)
<133> Timestamp: 2020.1.3 8:43:9.The sensor node with 49 reports it's too hot(running average temperature=20.063507)
<134> Timestamp: 2020.1.3 8:43:9.The sensor node with 37 reports it's too hot(running average temperature=19.495250)
<135> Timestamp: 2020.1.3 8:43:9.The sensor node with 15 reports it's too hot(running average temperature=19.495250)
<136> Timestamp: 2020.1.3 8:43:10.The sensor node with 112 reports it's too hot(running average temperature=19.237662)
<137> Timestamp: 2020.1.3 8:43:10.The sensor node with 21 reports it's too hot(running average temperature=19.237662)
<138> Timestamp: 2020.1.3 8:43:10.The sensor node with 15 reports it's too hot(running average temperature=19.706578)
<139> Timestamp: 2020.1.3 8:43:10.The sensor node with 37 reports it's too hot(running average temperature=19.706578)
<140> Timestamp: 2020.1.3 8:43:11.The sensor node with 15 reports it's too hot(running average temperature=19.742161)
<141> Timestamp: 2020.1.3 8:43:11.The sensor node with 37 reports it's too hot(running average temperature=19.742161)
<142> Timestamp: 2020.1.3 8:43:12.The sensor node with 49 reports it's too hot(running average temperature=19.978321)
<143> Timestamp: 2020.1.3 8:43:12.The sensor node with 112 reports it's too hot(running average temperature=19.075259)
<144> Timestamp: 2020.1.3 8:43:12.The sensor node with 21 reports it's too hot(running average temperature=19.075259)
<145> Timestamp: 2020.1.3 8:43:12.The sensor node with 15 reports it's too hot(running average temperature=19.562400)
<146> Timestamp: 2020.1.3 8:43:12.The sensor node with 37 reports it's too hot(running average temperature=19.562400)
<147> Timestamp: 2020.1.3 8:43:13.The sensor node with 37 reports it's too hot(running average temperature=19.381883)
<148> Timestamp: 2020.1.3 8:43:13.The sensor node with 15 reports it's too hot(running average temperature=19.381883)
<149> Timestamp: 2020.1.3 8:43:14.The sensor node with 112 reports it's too hot(running average temperature=18.990983)
<150> Timestamp: 2020.1.3 8:43:14.The sensor node with 21 reports it's too hot(running average temperature=18.990983)
<151> Timestamp: 2020.1.3 8:43:14.The sensor node with 37 reports it's too hot(running average temperature=19.290136)
<152> Timestamp: 2020.1.3 8:43:14.The sensor node with 15 reports it's too hot(running average temperature=19.290136)
<153> Timestamp: 2020.1.3 8:43:15.The sensor node with 49 reports it's too hot(running average temperature=19.909831)
<154> Timestamp: 2020.1.3 8:43:15.The sensor node with 37 reports it's too hot(running average temperature=19.190876)
<155> Timestamp: 2020.1.3 8:43:15.The sensor node with 15 reports it's too hot(running average temperature=19.190876)
<156> Timestamp: 2020.1.3 8:43:16.The sensor node with 112 reports it's too hot(running average temperature=19.105973)
<157> Timestamp: 2020.1.3 8:43:16.The sensor node with 21 reports it's too hot(running average temperature=19.105973)
<158> Timestamp: 2020.1.3 8:43:16.The sensor node with 37 reports it's too hot(running average temperature=19.139358)
<159> Timestamp: 2020.1.3 8:43:16.The sensor node with 15 reports it's too hot(running average temperature=19.139358)
<160> Timestamp: 2020.1.3 8:43:17.The sensor node with 37 reports it's too hot(running average temperature=19.098303)
<161> Timestamp: 2020.1.3 8:43:17.The sensor node with 15 reports it's too hot(running average temperature=19.098303)
<162> Timestamp: 2020.1.3 8:43:18.The sensor node with 49 reports it's too hot(running average temperature=19.825005)
<163> Timestamp: 2020.1.3 8:43:18.The sensor node with 112 reports it's too hot(running average temperature=19.201039)
<164> Timestamp: 2020.1.3 8:43:18.The sensor node with 21 reports it's too hot(running average temperature=19.201039)
<165> Timestamp: 2020.1.3 8:43:18.The sensor node with 37 reports it's too hot(running average temperature=19.086539)
<166> Timestamp: 2020.1.3 8:43:18.The sensor node with 15 reports it's too hot(running average temperature=19.086539)
<167> Timestamp: 2020.1.3 8:43:19.The sensor node with 37 reports it's too hot(running average temperature=19.105106)
<168> Timestamp: 2020.1.3 8:43:19.The sensor node with 15 reports it's too hot(running average temperature=19.105106)
<169> Timestamp: 2020.1.3 8:43:20.The sensor node with 112 reports it's too hot(running average temperature=19.165403)
<170> Timestamp: 2020.1.3 8:43:20.The sensor node with 21 reports it's too hot(running average temperature=19.165403)
<171> Timestamp: 2020.1.3 8:43:20.The sensor node with 37 reports it's too hot(running average temperature=19.005331)
<172> Timestamp: 2020.1.3 8:43:20.The sensor node with 15 reports it's too hot(running average temperature=19.005331)
<173> Timestamp: 2020.1.3 8:43:21.The sensor node with 49 reports it's too hot(running average temperature=19.685041)
<174> Timestamp: 2020.1.3 8:43:21.The sensor node with 37 reports it's too hot(running average temperature=19.008006)
<175> Timestamp: 2020.1.3 8:43:21.The sensor node with 15 reports it's too hot(running average temperature=19.008006)
<176> Timestamp: 2020.1.3 8:43:22.The sensor node with 112 reports it's too hot(running average temperature=19.205842)
<177> Timestamp: 2020.1.3 8:43:22.The sensor node with 21 reports it's too hot(running average temperature=19.205842)
<178> Timestamp: 2020.1.3 8:43:22.The sensor node with 37 reports it's too hot(running average temperature=19.189007)
<179> Timestamp: 2020.1.3 8:43:22.The sensor node with 15 reports it's too hot(running average temperature=19.189007)
<180> Timestamp: 2020.1.3 8:43:23.The sensor node with 37 reports it's too hot(running average temperature=19.216108)
<181> Timestamp: 2020.1.3 8:43:23.The sensor node with 15 reports it's too hot(running average temperature=19.216108)
<182> Timestamp: 2020.1.3 8:43:24.The sensor node with 49 reports it's too hot(running average temperature=19.518332)
<183> Timestamp: 2020.1.3 8:43:24.The sensor node with 112 reports it's too hot(running average temperature=19.287396)
<184> Timestamp: 2020.1.3 8:43:24.The sensor node with 21 reports it's too hot(running average temperature=19.287396)
<185> Timestamp: 2020.1.3 8:43:24.The sensor node with 37 reports it's too hot(running average temperature=19.086839)
<186> Timestamp: 2020.1.3 8:43:24.The sensor node with 15 reports it's too hot(running average temperature=19.086839)
<187> Timestamp: 2020.1.3 8:43:25.The sensor node with 37 reports it's too hot(running average temperature=19.063515)
<188> Timestamp: 2020.1.3 8:43:25.The sensor node with 15 reports it's too hot(running average temperature=19.063515)
<189> Timestamp: 2020.1.3 8:43:26.The sensor node with 112 reports it's too hot(running average temperature=19.273759)
<190> Timestamp: 2020.1.3 8:43:26.The sensor node with 21 reports it's too hot(running average temperature=19.273759)
<191> Timestamp: 2020.1.3 8:43:26.The sensor node with 37 reports it's too hot(running average temperature=19.169530)
<192> Timestamp: 2020.1.3 8:43:26.The sensor node with 15 reports it's too hot(running average temperature=19.169530)
<193> Timestamp: 2020.1.3 8:43:27.The sensor node with 49 reports it's too hot(running average temperature=19.385615)
<194> Timestamp: 2020.1.3 8:43:27.The sensor node with 37 reports it's too hot(running average temperature=19.155913)
<195> Timestamp: 2020.1.3 8:43:27.The sensor node with 15 reports it's too hot(running average temperature=19.155913)
<196> Timestamp: 2020.1.3 8:43:28.The sensor node with 112 reports it's too hot(running average temperature=19.244110)
<197> Timestamp: 2020.1.3 8:43:28.The sensor node with 21 reports it's too hot(running average temperature=19.244110)
<198> Timestamp: 2020.1.3 8:43:28.The sensor node with 15 reports it's too hot(running average temperature=18.963140)
<199> Timestamp: 2020.1.3 8:43:28.The sensor node with 37 reports it's too hot(running average temperature=18.963140)
<200> Timestamp: 2020.1.3 8:43:29.The sensor node with 37 reports it's too hot(running average temperature=18.927407)
<201> Timestamp: 2020.1.3 8:43:29.The sensor node with 15 reports it's too hot(running average temperature=18.927407)
<202> Timestamp: 2020.1.3 8:43:30.The sensor node with 49 reports it's too hot(running average temperature=19.237662)
<203> Timestamp: 2020.1.3 8:43:30.The sensor node with 112 reports it's too hot(running average temperature=19.191938)
<204> Timestamp: 2020.1.3 8:43:30.The sensor node with 21 reports it's too hot(running average temperature=19.191938)
<205> Timestamp: 2020.1.3 8:43:30.The sensor node with 37 reports it's too hot(running average temperature=18.939748)
<206> Timestamp: 2020.1.3 8:43:30.The sensor node with 15 reports it's too hot(running average temperature=18.939748)
<207> Timestamp: 2020.1.3 8:43:31.The sensor node with 37 reports it's too hot(running average temperature=18.894100)
<208> Timestamp: 2020.1.3 8:43:31.The sensor node with 15 reports it's too hot(running average temperature=18.894100)
<209> Timestamp: 2020.1.3 8:43:32.The sensor node with 112 reports it's too hot(running average temperature=19.171686)
<210> Timestamp: 2020.1.3 8:43:32.The sensor node with 21 reports it's too hot(running average temperature=19.171686)
<211> Timestamp: 2020.1.3 8:43:32.The sensor node with 37 reports it's too hot(running average temperature=18.946883)
<212> Timestamp: 2020.1.3 8:43:32.The sensor node with 15 reports it's too hot(running average temperature=18.946883)
<213> Timestamp: 2020.1.3 8:43:33.The sensor node with 49 reports it's too hot(running average temperature=19.075259)
<214> Timestamp: 2020.1.3 8:43:33.The sensor node with 37 reports it's too hot(running average temperature=18.945847)
<215> Timestamp: 2020.1.3 8:43:33.The sensor node with 15 reports it's too hot(running average temperature=18.945847)
<216> Timestamp: 2020.1.3 8:43:34.The sensor node with 112 reports it's too hot(running average temperature=19.114013)
<217> Timestamp: 2020.1.3 8:43:34.The sensor node with 21 reports it's too hot(running average temperature=19.114013)
<218> Timestamp: 2020.1.3 8:43:34.The sensor node with 37 reports it's too hot(running average temperature=18.773535)
<219> Timestamp: 2020.1.3 8:43:34.The sensor node with 15 reports it's too hot(running average temperature=18.773535)
<220> Timestamp: 2020.1.3 8:43:35.The sensor node with 37 reports it's too hot(running average temperature=18.713660)
<221> Timestamp: 2020.1.3 8:43:35.The sensor node with 15 reports it's too hot(running average temperature=18.713660)
<222> Timestamp: 2020.1.3 8:43:36.The sensor node with 49 reports it's too hot(running average temperature=18.990983)
<223> Timestamp: 2020.1.3 8:43:36.The sensor node with 112 reports it's too hot(running average temperature=19.121006)
<224> Timestamp: 2020.1.3 8:43:36.The sensor node with 21 reports it's too hot(running average temperature=19.121006)
<225> Timestamp: 2020.1.3 8:43:36.The sensor node with 37 reports it's too hot(running average temperature=18.666491)
<226> Timestamp: 2020.1.3 8:43:36.The sensor node with 15 reports it's too hot(running average temperature=18.666491)
<227> Timestamp: 2020.1.3 8:43:37.The sensor node with 37 reports it's too hot(running average temperature=18.452740)
<228> Timestamp: 2020.1.3 8:43:37.The sensor node with 15 reports it's too hot(running average temperature=18.452740)
<229> Timestamp: 2020.1.3 8:43:38.The sensor node with 112 reports it's too hot(running average temperature=19.146048)
<230> Timestamp: 2020.1.3 8:43:38.The sensor node with 21 reports it's too hot(running average temperature=19.146048)
<231> Timestamp: 2020.1.3 8:43:38.The sensor node with 37 reports it's too hot(running average temperature=18.218034)
<232> Timestamp: 2020.1.3 8:43:38.The sensor node with 15 reports it's too hot(running average temperature=18.218034)
<233> Timestamp: 2020.1.3 8:43:39.The sensor node with 49 reports it's too hot(running average temperature=19.105973)
<234> Timestamp: 2020.1.3 8:43:39.The sensor node with 37 reports it's too hot(running average temperature=18.042864)
<235> Timestamp: 2020.1.3 8:43:39.The sensor node with 15 reports it's too hot(running average temperature=18.042864)
<236> Timestamp: 2020.1.3 8:43:40.The sensor node with 112 reports it's too hot(running average temperature=19.172279)
<237> Timestamp: 2020.1.3 8:43:40.The sensor node with 21 reports it's too hot(running average temperature=19.172279)
<238> Timestamp: 2020.1.3 8:43:40.The sensor node with 37 reports it's too hot(running average temperature=18.077419)
<239> Timestamp: 2020.1.3 8:43:40.The sensor node with 15 reports it's too hot(running average temperature=18.077419)
<240> Timestamp: 2020.1.3 8:43:41.The sensor node with 37 reports it's too hot(running average temperature=18.226869)
<241> Timestamp: 2020.1.3 8:43:41.The sensor node with 15 reports it's too hot(running average temperature=18.226869)
<242> Timestamp: 2020.1.3 8:43:42.The sensor node with 49 reports it's too hot(running average temperature=19.201039)
<243> Timestamp: 2020.1.3 8:43:42.The sensor node with 112 reports it's too hot(running average temperature=19.168815)
<244> Timestamp: 2020.1.3 8:43:42.The sensor node with 21 reports it's too hot(running average temperature=19.168815)
<245> Timestamp: 2020.1.3 8:43:42.The sensor node with 37 reports it's too hot(running average temperature=18.382750)
<246> Timestamp: 2020.1.3 8:43:42.The sensor node with 15 reports it's too hot(running average temperature=18.382750)
<247> Timestamp: 2020.1.3 8:43:43.The sensor node with 37 reports it's too hot(running average temperature=18.473289)
<248> Timestamp: 2020.1.3 8:43:43.The sensor node with 15 reports it's too hot(running average temperature=18.473289)
<249> Timestamp: 2020.1.3 8:43:44.The sensor node with 112 reports it's too hot(running average temperature=19.155716)
<250> Timestamp: 2020.1.3 8:43:44.The sensor node with 21 reports it's too hot(running average temperature=19.155716)
<251> Timestamp: 2020.1.3 8:43:44.The sensor node with 37 reports it's too hot(running average temperature=18.432148)
<252> Timestamp: 2020.1.3 8:43:44.The sensor node with 15 reports it's too hot(running average temperature=18.432148)
<253> Timestamp: 2020.1.3 8:43:45.The sensor node with 49 reports it's too hot(running average temperature=19.165403)
<254> Timestamp: 2020.1.3 8:43:45.The sensor node with 37 reports it's too hot(running average temperature=18.355704)
<255> Timestamp: 2020.1.3 8:43:45.The sensor node with 15 reports it's too hot(running average temperature=18.355704)
<256> Timestamp: 2020.1.3 8:43:46.The sensor node with 112 reports it's too hot(running average temperature=19.326629)
<257> Timestamp: 2020.1.3 8:43:46.The sensor node with 21 reports it's too hot(running average temperature=19.326629)
<258> Timestamp: 2020.1.3 8:43:46.The sensor node with 37 reports it's too hot(running average temperature=18.433503)
<259> Timestamp: 2020.1.3 8:43:46.The sensor node with 15 reports it's too hot(running average temperature=18.433503)
<260> Timestamp: 2020.1.3 8:43:47.The sensor node with 37 reports it's too hot(running average temperature=18.447638)
<261> Timestamp: 2020.1.3 8:43:47.The sensor node with 15 reports it's too hot(running average temperature=18.447638)
<262> Timestamp: 2020.1.3 8:43:48.The sensor node with 49 reports it's too hot(running average temperature=19.205842)
<263> Timestamp: 2020.1.3 8:43:48.The sensor node with 112 reports it's too hot(running average temperature=19.495250)
<264> Timestamp: 2020.1.3 8:43:48.The sensor node with 21 reports it's too hot(running average temperature=19.495250)
<265> Timestamp: 2020.1.3 8:43:48.The sensor node with 37 reports it's too hot(running average temperature=18.317542)
<266> Timestamp: 2020.1.3 8:43:48.The sensor node with 15 reports it's too hot(running average temperature=18.317542)
